title,developer,url,published_date,price,genre,description,tags
hamsterbuild,moeshit,https://moeshit.itch.io/hamsterbuild,,,,,[]
Shoot,TheChainsawBoy,https://thechainsawboy.itch.io/shoot,28 April 2025 @ 07:08 UTC,,Simulation,Shoot or don't!,"['2D', 'Psychological Horror', 'Retro', 'Short', 'Singleplayer']"
Su-no-ku,ObeseTermite,https://obesetermite.itch.io/su-no-ku,28 April 2025 @ 07:05 UTC,,Action,An endless shooting roguelike,[]
Unstoppable Piko,Severus Prince,https://severus-prince.itch.io/unstoppable-piko,28 April 2025 @ 07:04 UTC,,Platformer,This game is platform game.,"['2D', 'Godot']"
Lucky Fighter EX Plus Ika,Takishi Usada,https://k-rock35.itch.io/lucky-fighter-ex-plus-ika,28 April 2025 @ 07:03 UTC,,Fighting,Ft. Ika Musume,"['2D', 'Anime', 'Doujinshi', 'Fangame', 'fightinggame', 'ikamusume', 'luckystar', 'Ludum Dare 57', 'mugen', 'squidgirl']"
AceWTP,Rennie D,https://rennie-d.itch.io/acewtp,,,Educational,A math game prototype,[]
ADDJAM_Combo_Crafters,Cole_Dingo,https://cole-dingo.itch.io/addjam-combo-crafters,,,,Deckbuilding? Programming? Area Shooter?,[]
Speedy Stapler,Shylencce,https://shylencce.itch.io/speedy-stapler,28 April 2025 @ 06:58 UTC,,,Staple as fast as you can!,"['altctrl', 'stapler']"
Fluid Frenzy Demo - Forest,Frenzy Byte,https://frenzy-byte.itch.io/fluid-frenzy-demo-forest,,,Simulation,Demo for the Unity asset Fluid Frenzy,[]
Astro Engineer,zvdp,https://zvdp.itch.io/astro-engineer,28 April 2025 @ 06:57 UTC,,Educational,A fun way to learn coding language,"['2D', 'Short', 'Singleplayer']"
山村99: ULTRA-BATTLE Timeship DX,TRIPLEDDRUGGCO,https://dekkerd.itch.io/yamamura99,28 April 2025 @ 06:49 UTC,,Shooter,Obliterate evil through time,"['Arcade', 'Bullet Hell']"
what number do you see,spaceter,https://spaceter.itch.io/hey-hey,28 April 2025 @ 06:47 UTC,,,,[]
Chattera,Jojoo0855,https://jojoo0855.itch.io/chattera,28 April 2025 @ 06:46 UTC,,Platformer,"Group chating app with friends, strangers and good system game , voting system and amazing UI design",[]
Get Out of New Guild,NickFarts,https://nickfarts.itch.io/get-out-of-new-guild,28 April 2025 @ 06:45 UTC,,Platformer,"You are trapped in New Guild, a coop in Austin Texas. Everyone is inebriated, and you need to get out.",['Pixel Art']
TetraBros,Elagoht,https://elagoht.itch.io/tetrabros,28 April 2025 @ 06:35 UTC,,Fighting,A chaotic 2-player wizard duel in a storm of Tetris blocks!,"['2D', 'localco', 'Local multiplayer', 'Magic', 'Multiplayer', 'Pixel Art', 'Split Screen', 'Tetris']"
Dial Up Rile Up,sleepicacti,https://sleepicacti.itch.io/dial-up-rile-up,28 April 2025 @ 06:30 UTC,,Fighting,Get those ragamuffins OFF THE PHONE LINE,"['Godot', 'Pixel Art', 'Short', 'Trijam']"
